id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
1,abohar,https://www.swiggy.com/restaurants/the-second-wife-dhaujha-furniture-central-abohar-abohar-729933,The Second Wife,"Indian, North Indian, Snacks, Thalis",Central Abohar,3.3,₹250 for two,10+ ratings,FLAT 10% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
2,abohar,https://www.swiggy.com/restaurants/snakkers-hanuman-garh-road-near-dav-coleege-abohar-656071,Snakkers	,"Pizzas, Burgers, Beverages",NEAR DAV COLEEGE,4,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
3,abohar,https://www.swiggy.com/restaurants/just-baked-ward-22-central-abohar-abohar-427610,Just Baked,"Beverages, Pizzas",Central Abohar,3.9,₹300 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
4,bagalkot,https://www.swiggy.com/restaurants/pakwann-chaat-kichen-pakwann-murnala-village-bagalkot-669159,Pakwann Chaat Kichen,"Chaat, Desserts, Chinese",Murnala Village,3.8,₹200 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
5,bagalkot,https://www.swiggy.com/restaurants/surabhi-restaurant-murnala-village-nava-nagar-bagalkot-375691,Surabhi Restaurant,"Chinese, North Indian, South Indian, Biryani",Nava Nagar,3.5,₹250 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
6,aurangabad,https://www.swiggy.com/restaurants/chitale-xpress-laxmi-sankul-usmanpura-aurangabad-671235,Chitale Xpress,"Sweets, Snacks",Usmanpura,4.6,₹500 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
7,aurangabad,https://www.swiggy.com/restaurants/safa-restaurant-naralibag-shahgunj-aurangabad-91098,Safa Restaurant,"Mughlai, North Indian, Biryani, Arabian, Chinese, Tandoor, Maharashtrian",Shahgunj,3.8,₹150 for two,10K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; FLAT ₹150 OFF; 50% OFF UPTO ₹250; 40% OFF UPTO ₹120
8,aurangabad,https://www.swiggy.com/restaurants/yalla-yalla-gajanan-mandir-road-gadia-vihar-cidco-aurangabad-461774,Yalla Yalla (Gajanan Mandir Road),"Chinese, North Indian, Ice Cream, Biryani",Cidco,4.1,₹400 for two,100+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 10% OFF UPTO ₹40; 20% OFF UPTO ₹120
9,arakkonam,https://www.swiggy.com/restaurants/hotel-vaigai-arakkonam-locality-arakkonam-512014,Hotel Vaigai,"Chinese, Snacks",Arakkonam Locality,3.8,₹250 for two,100+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
10,arambagh,https://www.swiggy.com/restaurants/bharat-biryani-hooghly-arambagh-arambagh-674738,Bharat Biryani	,Biryani,Arambagh,3.9,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
11,ankleshwar,https://www.swiggy.com/restaurants/pizza-point-ganesh-squre-gidc-ankleshwar-601385,Pizza Point,"Pizzas, Snacks",GIDC,3.7,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
12,anantapur,https://www.swiggy.com/restaurants/the-pizza-bakery-sai-nagar-anantapur-anantapur-586797,The Pizza Bakery,"Pizzas, Beverages, Juices",Anantapur,,₹250 for two,Too Few Ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
13,ankleshwar,https://www.swiggy.com/restaurants/santushti-shakes-and-more-road-gidc-ankleshwar-640966,Santushti Shakes & More,"Beverages, Ice Cream",GIDC,3.8,₹200 for two,20+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
14,anantapur,https://www.swiggy.com/restaurants/raju-gari-biryani-ashok-nagar-anantapur-anantapur-543308,Raju Gari Biryani,Biryani,Anantapur,2,₹200 for two,50+ ratings,40% OFF UPTO ₹80; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
15,anantapur,https://www.swiggy.com/restaurants/vivaha-bhojanambu-kakkalapalli-anantapur-anantapur-552789,Vivaha Bhojanambu,"Biryani, South Indian",Anantapur,3.4,₹800 for two,100+ ratings,40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
16,anantapur,https://www.swiggy.com/restaurants/fried-wings-adimurthy-nagar-anantapur-718916,Fried Wings,"Pizzas, Fast Food, Burgers, Tandoor",Adimurthy Nagar,2.9,₹250 for two,8 ratings,40% OFF UPTO ₹80; FLAT 30% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
17,ankleshwar,https://www.swiggy.com/restaurants/monginis-station-road-gidc-ankleshwar-533038,Monginis,"Bakery, Snacks",GIDC,3.2,₹200 for two,50+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
18,yavatmal,https://www.swiggy.com/restaurants/ifc-restaurant-gedam-nagar-yavatmal-city-yavatmal-752642,IFC Restaurant,"Chinese, Burgers, Snacks",Yavatmal City,,₹200 for two,Too Few Ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
19,aurangabad,https://www.swiggy.com/restaurants/dominos-pizza-jalna-raod-aurangpura-aurangabad-74403,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",Aurangpura,4.3,₹400 for two,1K+ ratings,FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
20,anantapur,https://www.swiggy.com/restaurants/hyderabad-biryani-house-gulzarpet-anantapur-anantapur-235739,Hyderabad Biryani House,"Biryani, Chinese, Continental, North Indian, South Indian, Indian",Anantapur,3.9,₹200 for two,1K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
21,yavatmal,https://www.swiggy.com/restaurants/pet-pooja-yerawar-chowk-pangari-yavatmal-140473,Pet Pooja,"Pastas, Desserts, Chinese, North Indian, South Indian, Burgers, Ice Cream, Pizzas, Biryani",Pangari,3.5,₹150 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
22,anantapur,https://www.swiggy.com/restaurants/warmoven-cakes-and-desserts-aravinda-nagar-adimurthy-nagar-anantapur-682275,WarmOven Cakes & Desserts,"Bakery, Desserts, Ice Cream, Beverages",Adimurthy Nagar,3.6,₹200 for two,50+ ratings,60% OFF UPTO ₹120; FLAT ₹150 OFF; FLAT 20% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
23,ankleshwar,https://www.swiggy.com/restaurants/the-belgian-waffle-co-sardar-park-raod-gidc-ankleshwar-376864,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",GIDC,4.6,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
24,yavatmal,https://www.swiggy.com/restaurants/chicken-affair-godhani-road-yavatmal-city-yavatmal-707994,Chicken Affair,Chinese,Yavatmal City,2.9,₹250 for two,6 ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
25,yavatmal,https://www.swiggy.com/restaurants/one-bite-church-road-yavatmal-city-yavatmal-619190,One Bite,Indian,Yavatmal City,4.1,₹250 for two,100+ ratings,FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
26,amritsar,https://www.swiggy.com/restaurants/shri-krishna-misthan-bhandar-mandir-shri-longawali-devi-ji-golden-temple-road-katra-ahluwalia-amritsar-104545,Shri Krishna Misthan Bhandar Mandir Shri Longawali  Devi Ji,"Sweets, Snacks, Beverages",Katra Ahluwalia,4.5,₹250 for two,10K+ ratings,50% OFF UPTO ₹100; Free Free Delight; FLAT 20% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
27,amritsar,https://www.swiggy.com/restaurants/mcdonalds-the-celebration-mall-basant-nagar-amritsar-253994,McDonald's,American,Basant Nagar,4.2,₹400 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
28,amreli,https://www.swiggy.com/restaurants/dosa-in-chital-road-yamuna-park-amreli-188072,Dosa.in,"North Indian, South Indian, Burgers, Pizzas",Yamuna Park,3.4,₹100 for two,100+ ratings,FLAT ₹125 OFF; Free Free Delight; FLAT ₹75 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
29,amritsar,https://www.swiggy.com/restaurants/poornima-chinese-food-crystal-chowk-ina-colony-amritsar-112611,Poornima Chinese Food,"Chinese, Pizzas, Punjabi, Italian, Snacks, Fast Food",INA Colony,4.2,₹200 for two,10K+ ratings,FLAT ₹125 OFF; 50% OFF UPTO ₹100; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
30,amritsar,https://www.swiggy.com/restaurants/crystal-restaurant-crystal-chowk-ina-colony-amritsar-75342,Crystal Restaurant,"North Indian, Continental, American, Chinese, Mughlai",INA Colony,4.2,₹800 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
31,amritsar,https://www.swiggy.com/restaurants/r-k-food-plaza-subhash-park-town-hall-amritsar-76923,R K Food Plaza,"North Indian, Chinese, South Indian, Beverages",Town Hall,4.3,₹200 for two,10K+ ratings,30% OFF UPTO ₹75; FLAT ₹125 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
32,amritsar,https://www.swiggy.com/restaurants/brijwasi-chat-bhandar-maharaja-ranjit-singh-nagar-ina-colony-amritsar-296610,Brijwasi Chat Bhandar,"Chaat, Snacks, North Indian",INA Colony,4,₹150 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
33,amritsar,https://www.swiggy.com/restaurants/old-kundan-dhaba-grand-trunk-road-amritsar-junction-amritsar-112863,Old Kundan Dhaba,"North Indian, Chinese",Amritsar Junction,3.8,₹200 for two,10K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; Free Free Delight; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
34,yavatmal,https://www.swiggy.com/restaurants/dominos-pizza-bangar-nagar-yavatmal-locality-yavatmal-156368,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",Yavatmal Locality,3.9,₹400 for two,500+ ratings,FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
35,amritsar,https://www.swiggy.com/restaurants/south-indian-madrasri-dosa-wala-a-block-market-ranjit-avenue-amritsar-633986,South Indian Madrasri Dosa Wala,"Fast Food, Bakery, Beverages",Ranjit Avenue,4,₹250 for two,500+ ratings,40% OFF UPTO ₹80; Free Free Delight; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
36,amreli,https://www.swiggy.com/restaurants/student-live-puff-yogi-nagar-amreli-town-amreli-690018,Student live puff,Indian,Amreli Town,4.4,₹300 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
37,amreli,https://www.swiggy.com/restaurants/bajarang-sandwich-town-d-l-b-society-amreli-226292,Bajarang Sandwich,"Fast Food, Street Food",D.L.B. Society,3.1,₹100 for two,100+ ratings,30% OFF UPTO ₹75; FLAT ₹125 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; FLAT ₹150 OFF
38,amreli,https://www.swiggy.com/restaurants/eatry-zone-nagnath-complex-amreli-town-amreli-696916,Eatry Zone,Snacks,Amreli Town,3.9,₹250 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
39,amritsar,https://www.swiggy.com/restaurants/los-fiesta-majitha-road-basant-nagar-amritsar-78207,Los Fiesta,"Pizzas, Italian-American, Chinese, American, Pastas, Snacks, Beverages, Desserts, Fast Food, Salads, North Indian",Basant Nagar,4.1,₹100 for two,10K+ ratings,60% OFF UPTO ₹120; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; FLAT ₹175 OFF
40,amreli,https://www.swiggy.com/restaurants/china-town-station-road-d-l-b-society-amreli-188007,China Town,"North Indian, Biryani",D.L.B. Society,4,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
41,amreli,https://www.swiggy.com/restaurants/food-plaza-chital-road-airport-amreli-188076,Food Plaza,"North Indian, Burgers, Pizzas",Airport,3,₹100 for two,100+ ratings,FLAT ₹75 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; FLAT ₹150 OFF; 20% OFF UPTO ₹120
42,yavatmal,https://www.swiggy.com/restaurants/rasoi-the-kitchen-datta-chowk-yavatmal-locality-yavatmal-623105,Rasoi The Kitchen,"South Indian, Snacks",Yavatmal Locality,3.8,₹200 for two,20+ ratings,15% OFF UPTO ₹45; 25% OFF UPTO ₹120; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
43,amreli,https://www.swiggy.com/restaurants/vadilal-ice-creams-amreli-town-amreli-700439,Vadilal Ice Creams,"Ice Cream, Desserts, Beverages",Amreli Town,4.6,₹250 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
44,amritsar,https://www.swiggy.com/restaurants/novelty-sweets-white-avenue-lawrence-road-amritsar-76921,Novelty Sweets,"North Indian, Sweets, Snacks, South Indian, Continental",Lawrence Road,4.1,₹300 for two,10K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; Free Free Delight; FLAT ₹175 OFF; 40% OFF UPTO ₹120
45,amreli,https://www.swiggy.com/restaurants/pizza-point-sanskar-complex-d-l-b-society-amreli-188015,Pizza Point,"Pizzas, Burgers, Pastas, Chinese",D.L.B. Society,3.8,₹200 for two,1K+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
46,yavatmal,https://www.swiggy.com/restaurants/chiness-house-tahsil-chowk-pangari-yavatmal-234395,Chiness House,Chinese,Pangari,3.5,₹100 for two,100+ ratings,Free Rice; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
47,amreli,https://www.swiggy.com/restaurants/rangoli-ice-cream-mega-mall-amrelitown-amreli-581585,Rangoli Ice Cream,"Beverages, Ice Cream, Desserts",AmreliTown,4.2,₹150 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
48,amreli,https://www.swiggy.com/restaurants/la-pinoz-pizza-k-v-parik-road-amreli-682834,La Pino'z Pizza,"Pizzas, Pastas, Italian, Desserts, Beverages",K V Parik Road,4.3,₹400 for two,100+ ratings,50% OFF UPTO ₹100; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120; 15% OFF UPTO ₹80
49,yavatmal,https://www.swiggy.com/restaurants/momo-g-tiranga-chowk-yavatmal-locality-yavatmal-513588,Momo-G,Chinese,Yavatmal Locality,3,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
50,yavatmal,https://www.swiggy.com/restaurants/ms-chaap-corner-civil-line-yavatmal-city-yavatmal-701602,MS Chaap Corner,"North Indian, Snacks",Yavatmal City,3.5,₹300 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
51,yavatmal,https://www.swiggy.com/restaurants/ekvira-restaurant-darwa-road-midc-yavatmal-141318,Ekvira Restaurant,"Desserts, Chinese, North Indian, Ice Cream, Biryani",Midc,3.9,₹200 for two,5K+ ratings,40% OFF UPTO ₹80; Free Free Delight; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
52,anantapur,https://www.swiggy.com/restaurants/express-biriyani-ram-nagar-adimurthy-nagar-anantapur-718915,Express Biriyani,"North Indian, South Indian, Indian, Biryani, Chinese, Beverages, Desserts",Adimurthy Nagar,3.3,₹250 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
53,anantapur,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-tata-nagar-anantapur-anantapur-304791,Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",Anantapur,4.3,₹300 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
54,anantapur,https://www.swiggy.com/restaurants/kfc-anantpur-anantapur-anantapur-385795,KFC,"Burgers, Biryani, American, Snacks, Fast Food",Anantapur,3.9,₹400 for two,1K+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
55,anand,https://www.swiggy.com/restaurants/food-mohalla-mahadev-nagar-vallabh-vidyanagar-anand-262885,Food Mohalla,Snacks,Vallabh Vidyanagar,4,₹150 for two,100+ ratings,30% OFF UPTO ₹75; FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
56,anand,https://www.swiggy.com/restaurants/the-shake-maker-sojitra-road-vallabh-vidyanagar-anand-372191,The Shake Maker,"Beverages, Desserts, Juices, Indian",Vallabh Vidyanagar,4.7,₹250 for two,20+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
57,anand,https://www.swiggy.com/restaurants/taste-of-bombay-sandwich-raghuvir-chokdi-vallabh-vidyanagar-anand-245015,Taste Of Bombay Sandwich,"Fast Food, Beverages",Vallabh Vidyanagar,4.1,₹150 for two,100+ ratings,20% OFF UPTO ₹100; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
58,anand,https://www.swiggy.com/restaurants/yo-frankie-mahadev-nagar-vallabh-vidyanagar-anand-262753,Yo Frankie,Beverages,Vallabh Vidyanagar,4.1,₹150 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
59,anand,https://www.swiggy.com/restaurants/nic-ice-creams-sojitra-road-vallabh-vidyanagar-anand-499780,NIC Ice Creams,"Ice Cream, Desserts",Vallabh Vidyanagar,4.6,₹120 for two,100+ ratings,50% OFF UPTO ₹100; 20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
60,anand,https://www.swiggy.com/restaurants/kfc-sarvodaya-society-vallabh-vidyanagar-anand-340376,KFC,"Burgers, Biryani, American, Snacks, Fast Food",Vallabh Vidyanagar,4,₹400 for two,1K+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
61,ankleshwar,https://www.swiggy.com/restaurants/one-bite-signature-galleria-gidc-ankleshwar-608613,One Bite,"Fast Food, Pizzas, Burgers",GIDC,4.1,₹250 for two,50+ ratings,10% OFF UPTO ₹40; Free Lemontea; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
62,ankleshwar,https://www.swiggy.com/restaurants/al-baik-mahavir-turning-gidc-ankleshwar-697430,Al-Baik,"Snacks, Fast Food",GIDC,3.4,₹250 for two,4 ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
63,anand,https://www.swiggy.com/restaurants/mcdonalds-sojitra-road-vallabh-vidyanagar-anand-102216,McDonald's,"Burgers, Beverages, Cafe, Desserts",Vallabh Vidyanagar,4.2,₹400 for two,1K+ ratings,FLAT 10% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
64,ankleshwar,https://www.swiggy.com/restaurants/kathi-junction-gadkhol-part-gidc-ankleshwar-662088,Kathi Junction,"Fast Food, Snacks, Beverages",GIDC,4.2,₹300 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
65,anand,https://www.swiggy.com/restaurants/the-belgian-waffle-co-v-v-nagar-road-triveni-arcade-anand-161893,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",TRIVENI ARCADE,4.4,₹200 for two,500+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
66,anantapur,https://www.swiggy.com/restaurants/pizza-hut-pallavi-towers-anantapur-anantapur-408183,Pizza Hut,Pizzas,Anantapur,3.8,₹300 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
67,ankleshwar,https://www.swiggy.com/restaurants/the-pizza-box-ganesh-square-gidc-ankleshwar-702138,The Pizza Box,"Pizzas, Burgers",GIDC,,₹199 for two,,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
68,arakkonam,https://www.swiggy.com/restaurants/bismi-fried-chicken-vedachalam-street-arakkonam-locality-arakkonam-593228,Bismi Fried Chicken,"Chinese, Burgers",Arakkonam Locality,3.3,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
69,arakkonam,https://www.swiggy.com/restaurants/d-lassi-box-tahsildar-street-arakkonam-locality-arakkonam-509247,D Lassi Box,"Desserts, Chinese, Burgers, Ice Cream, Sweets",Arakkonam Locality,4.3,₹300 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
70,ankleshwar,https://www.swiggy.com/restaurants/trishiv-chinese-corner-mahavir-turning-sgnature-galleria-ankleshwar-586335,Trishiv Chinese Corner,Chinese,Sgnature Galleria,3.4,₹200 for two,10+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
71,arakkonam,https://www.swiggy.com/restaurants/s-r-thalapakattu-biriyani-centre-jothi-nagar-arakkonam-locality-arakkonam-660666,S R Thalapakattu Biriyani Centre	,"Biryani, Chinese, North Indian",Arakkonam Locality,3.6,₹200 for two,100+ ratings,40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
72,arakkonam,https://www.swiggy.com/restaurants/shree-chats-bhagavan-mahaveer-street-arakkonam-locality-arakkonam-582219,Shree Chat'S,"Chaat, Snacks, Pizzas, Burgers",Arakkonam Locality,3.5,₹200 for two,50+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
73,anand,https://www.swiggy.com/restaurants/subway-mahadev-nagar-anand-548212,Subway,"Healthy Food, Salads, Fast Food",mahadev-nagar,4.2,₹500 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
74,ankleshwar,https://www.swiggy.com/restaurants/martinoz-pizza-tal-shyam-nagar-ankleshwar-716512,Martino'z Pizza,"Pizzas, Fast Food, Italian, Beverages",Shyam Nagar,3.9,₹200 for two,20+ ratings,40% OFF UPTO ₹80; FLAT ₹100 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
75,anand,https://www.swiggy.com/restaurants/pizza-hut-maruti-solaris-hadgood-anand-133905,Pizza Hut,Pizzas,Hadgood,3.9,₹600 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
76,arakkonam,https://www.swiggy.com/restaurants/we-chai-new-bus-stand-arakkonam-arakkonam-734655,we chai,Fast Food,Arakkonam,,₹150 for two,,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
77,asansol,https://www.swiggy.com/restaurants/gourmet-ice-cream-cakes-by-baskin-robbins-mallshristi-nagar-road-sentrum-mall-asansol-722721,Gourmet Ice Cream Cakes by Baskin Robbins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",Sentrum Mall,,₹200 for two,,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
78,arakkonam,https://www.swiggy.com/restaurants/hotel-ganesh-bhavan-sholingur-road-arakkonam-locality-arakkonam-511894,Hotel Ganesh Bhavan,Indian,Arakkonam Locality,4.1,₹200 for two,50+ ratings,30% OFF UPTO ₹75; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
79,arakkonam,https://www.swiggy.com/restaurants/sai-fast-food-tiruttani-road-arakkonam-locality-arakkonam-584117,Sai Fast Food,"Chinese, Biryani, Indian, Snacks",Arakkonam Locality,3.6,₹200 for two,100+ ratings,FLAT ₹125 OFF; 40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
80,asansol,https://www.swiggy.com/restaurants/chick-blast-sentrum-mall-kanyapur-asansol-132474,Chick Blast,"Chinese, Italian, North Indian",Kanyapur,3.8,₹300 for two,100+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
81,asansol,https://www.swiggy.com/restaurants/dum-safar-biryani-shristi-nagar-road-sentrum-mal-asansol-639520,Dum Safar Biryani,"Biryani, Kebabs, Tandoor, Indian, Desserts",SENTRUM MAL,4.3,₹500 for two,100+ ratings,60% OFF UPTO ₹120; Free Chocolate  Shake; FLAT 15% OFF; FLAT ₹125 OFF; 40% OFF UPTO ₹120
82,arakkonam,https://www.swiggy.com/restaurants/annapoorna-hotel-dharmaraja-koil-street-arakkonam-locality-arakkonam-512083,Annapoorna Hotel,"Chinese, North Indian, South Indian, Biryani",Arakkonam Locality,4.1,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
83,arakkonam,https://www.swiggy.com/restaurants/sri-saravana-lunch-home-gandhi-road-arakkonam-locality-arakkonam-513303,Sri Saravana Lunch Home,"Chinese, North Indian, South Indian, Biryani",Arakkonam Locality,4.3,₹250 for two,1K+ ratings,20% OFF UPTO ₹50; Free mixture; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
84,asansol,https://www.swiggy.com/restaurants/wow-chicken-by-wow-momo-block-b-ushagram-asansol-615675,Wow! Chicken By Wow! Momo,"American, Snacks, Beverages, Continental",Ushagram,4,₹300 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
85,asansol,https://www.swiggy.com/restaurants/momo-magic-cafe-hutton-road-ushagram-asansol-601361,Momo Magic Cafe,"Chinese, Beverages, Pastas, Fast Food, Indian",Ushagram,4.1,₹250 for two,100+ ratings,FLAT ₹100 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
