id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
231,valsad,https://www.swiggy.com/restaurants/mumbai-bites-dharampur-road-valsad-city-valsad-464027,Mumbai Bites ,"Chinese, Punjabi, North Indian",Valsad City,4.1,₹300 for two,20+ ratings,FLAT ₹125 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
232,valsad,https://www.swiggy.com/restaurants/vijay-chinese-and-punjabi-bechar-road-kapadia-chal-valsad-119687,Vijay Chinese And Punjabi,"Chinese, North Indian, Biryani",Kapadia Chal,3.9,₹200 for two,1K+ ratings,60% OFF UPTO ₹120; Free Free Delight; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
233,valsad,https://www.swiggy.com/restaurants/51-rainbow-ice-cream-dharampur-road-valsad-city-valsad-511193,51 Rainbow Ice Cream,"Beverages, Ice Cream, Desserts, Fast Food",Valsad City,3.6,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
234,valsad,https://www.swiggy.com/restaurants/celebrations-halar-road-shree-nagar-society-valsad-121435,Celebrations,Bakery,Shree Nagar Society,4.1,₹300 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
235,vijayawada,https://www.swiggy.com/restaurants/bakingo-gurunanak-nagar-auto-nagar-vijayawada-498043,Bakingo,"Bakery, Desserts, Beverages, Snacks",Auto Nagar,3.5,₹299 for two,50+ ratings,60% OFF UPTO ₹120; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
236,valsad,https://www.swiggy.com/restaurants/la-pinoz-pizza-city-pali-hill-valsad-375572,La Pino'z Pizza,"Pizzas, Pastas, Italian, Desserts, Beverages",Pali Hill,4.2,₹300 for two,50+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
237,vapi,https://www.swiggy.com/restaurants/go-zero-guilt-free-ice-creams-gunjan-vapi-691056,Go Zero - Guilt Free Ice Creams,"Ice Cream, Desserts",Gunjan,2.9,₹150 for two,7 ratings,50% OFF UPTO ₹100; FLAT ₹125 OFF; FLAT 30% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
238,vapi,https://www.swiggy.com/restaurants/apsara-ice-creams-chharwada-road-vapi-locality-vapi-355389,Apsara Ice Creams,"Ice Cream, Desserts",Vapi Locality,4.4,₹150 for two,100+ ratings,40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
239,vapi,https://www.swiggy.com/restaurants/getaway-desserts-silvassa-road-vapi-vapi-693611,GetAWay-Desserts,"Ice Cream, Desserts, Healthy Food",Vapi,3.8,₹200 for two,10+ ratings,FLAT 25% OFF; 50% OFF UPTO ₹100; Free Free Delight; FLAT ₹125 OFF; 40% OFF UPTO ₹120
240,vapi,https://www.swiggy.com/restaurants/haldirams-sweets-and-namkeen-fortune-landmark-vapi-city-vapi-715807,Haldiram's Sweets and Namkeen,"South Indian, North Indian, Fast Food",Vapi City,3.9,₹200 for two,20+ ratings,
